,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,job_state,same_state,company_age,python,excel,hadoop,spark,aws,tableau,big_data,job_simp,seniority
0,Sr Data Scientist,137-171 ,"Description

The Senior Data Scientist is responsible for defining, building, and improving statistical models to improve business processes and outcomes in one or more healthcare domains such as Clinical, Enrollment, Claims, and Finance. As part of the broader analytics team, Data Scientist will gather and analyze data to solve and address complex business problems and evaluate scenarios to make predictions on future outcomes and work with the business to communicate and support decision-making. This position requires strong analytical skills and experience in analytic methods including multivariate regressions, hierarchical linear models, regression trees, clustering methods and other complex statistical techniques.

Duties & Responsibilities:

• Develops advanced statistical models to predict, quantify or forecast various operational and performance metrics in multiple healthcare domains
• Investigates, recommends, and initiates acquisition of new data resources from internal and external sources
• Works with multiple teams to support data collection, integration, and retention requirements based on business needs
• Identifies critical and emerging technologies that will support and extend quantitative analytic capabilities
• Collaborates with business subject matter experts to select relevant sources of information
• Develops expertise with multiple machine learning algorithms and data science techniques, such as exploratory data analysis and predictive modeling, graph theory, recommender systems, text analytics and validation
• Develops expertise with Healthfirst datasets, data repositories, and data movement processes
• Assists on projects/requests and may lead specific tasks within the project scope
• Prepares and manipulates data for use in development of statistical models
• Other duties as assigned

Minimum Qualifications:

-Bachelor's Degree

Preferred Qualifications:

- Master’s degree in Computer Science or Statistics
Familiarity with major cloud platforms such as AWS and Azure
Healthcare Industry Experience

Minimum Qualifications:

-Bachelor's Degree

Preferred Qualifications:

- Master’s degree in Computer Science or Statistics
Familiarity with major cloud platforms such as AWS and Azure
Healthcare Industry Experience

WE ARE AN EQUAL OPPORTUNITY EMPLOYER. Applicants and employees are considered for positions and are evaluated without regard to mental or physical disability, race, color, religion, gender, national origin, age, genetic information, military or veteran status, sexual orientation, marital status or any other protected Federal, State/Province or Local status unrelated to the performance of the work involved.

If you have a disability under the Americans with Disability Act or a similar law, and want a reasonable accommodation to assist with your job search or application for employment, please contact us by sending an email to careers@Healthfirst.org or calling 212-519-1798 . In your email please include a description of the accommodation you are requesting and a description of the position for which you are applying. Only reasonable accommodation requests related to applying for a position within Healthfirst Management Services will be reviewed at the e-mail address and phone number supplied. Thank you for considering a career with Healthfirst Management Services.
EEO Law Poster and Supplement

]]>",3.1,Healthfirst,"New York, NY","New York, NY",1001 to 5000 employees,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,137,171,154, NY,1,27.0,0,0,0,0,1,0,0,data scientist,senior
32,Senior Research Statistician- Data Scientist,75-131 ,"Acuity is seeking a Senior Research Statistician- Data Scientist to use statistical knowledge and research skills to solve business problems. The Research Statistician will develop, implement, and interpret statistical models with a strong emphasis on data mining and statistical/predictive modeling. Provides work direction.
ESSENTIAL FUNCTIONS:
Identifies and acquires additional data sources, both internal and external, that can be used to enhance analyses.
Lead the development of analytical models to drive superior business outcomes.
Develop in-depth understanding of drivers for optimization by utilizing statistics and data mining techniques.
Using latest PC tools, develop, enhance and monitor reports and models for other business areas.
Evaluate and use Data Mining Tools.
Support, train, encourage, consult other areas in the company and provide actionable information to management.
Continually monitor database information and future needs.
Explore and acquire data from outside sources.
Use database tools to support other departments
Regular and predictable attendance.
Perform other duties as assigned.
EDUCATION:
Masters/PhD in Statistics, Mathematics, Economics, Operations Research or Computer Science
EXPERIENCE:
5 years P&C insurance, modelling and project leader experience. Programming skills including SAS and R.
OTHER QUALIFICATIONS:
Strong interpersonal, quantitative, problem-solving, computer and conceptual skills.
Aptitude in predictive modeling, multivariate analysis, statistical modeling, data mining techniques and mathematical statistics.
Ability to apply strong programming and data management skills.
Knowledge of and experience with at least one major computer programming language or advanced syntax in a major statistical package.
This job is classified as exempt.",4.8,Acuity Insurance,"Sheboygan, WI","Sheboygan, WI",1001 to 5000 employees,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),75,131,103, WI,1,95.0,0,0,0,0,0,0,0,data scientist,senior
38,Senior Analyst/Data Scientist,75-131 ,"At Edmunds were driven to make car buying easier. Ever since we began publishing printed car guides in the 60s, the company has been in the business of trust, innovating ways to empower and support car shoppers. When Edmunds launched the car industrys first Internet site in 1994, we established a leadership position online and have never looked back. Now, as one of the most trusted review sites on the Internet, millions of visitors use our research, shopping and buying tools every month to make an easy and informed decision on their next car. For consumers, we bring peace of mind. For dealers, we make tools to help them solve their problems and sell more cars. How do we do it, you ask? The key ingredients are our enthusiastic employees, progressive company culture and cutting-edge technology. Want to join the team? Read on to find out how!

What Youre Applying For:

Edmunds is seeking a skilled, creative and enthusiastic Senior Analyst/Data Scientist experienced in generating actionable insights from large sets of data, measuring business performance, and identifying areas of growth and optimization using advanced analytical (modeling) and experimental approaches.

The Senior Analyst/Data Scientist will serve a hybrid role in supporting our Tier 3 Sales team by creating dealer performance forecasts; monitoring revenue, dealer penetration and churn, analyzing effectiveness of sales efforts, and identifying areas of optimization and growth by extracting insights through modeling, testing and experimentation. In addition, the Senior Analyst/Data Scientist will also lead data science projects focused on creating and fine-tuning models to reduce churn of our T3 business as well as maintaining and optimizing existing traffic forecast models for the business.

The Senior Analyst/Data Scientist will also be expected to design, conduct, and lead complex analyses with minimal guidance to address questions from our executive team and show keen ability to interpret and communicate findings via a presentation in a clear, concise and meaningful manner. In addition, this person will be expected to take ownership of projects to continually improve reporting quality through automation and be able to anticipate and prevent problems and roadblocks before they occur.

This is a great opportunity for an individual with significant business acumen that is interested in playing with the wealth of structured and unstructured data that is available within the car buying ecosystem. Curiosity and business intellect a must.

What Youll Do:
Partner with senior business stakeholders to help optimize on our core business KPIs.
Design, conduct and lead complex analyses that mine, extract, track, report and analyze performance metrics
Apply analytical rigor and statistical methods to analyze large amounts of data, using advanced statistical techniques such as predictive statistical models, customer profiling, segmentation analysis, survey design and analysis and data mining.
Provide updates on the performance of our core KPIs as well as insights and recommendations to both our senior stakeholders and executive team in a presentation.
Create and produce forecasts, reports, ad hoc requests, dashboards, etc. utilizing our data warehouse and other data source systems and summarize your findings
Develop, evaluate, refine, and automate analytic models using data to address business needs, and identify areas of optimization.
Collaborate with different departments and define requirements to improve our reporting suite
What You Need:
A passion for analytics
Strong analytical and data mining skills
Strong data extraction and manipulation skills - SQL experience required
Data modeling / statistical analysis / predictive modeling experience is required. (R or Python)
Experience creating reports and dashboards through BI tools such as Tableau is required
Excellent presentation and communication skills
Proven ability to accurately report and interpret trends and translate these trends into actionable insights.
Proven ability to synthesize complex data/analysis into clear and concise insights and recommendations.
Ability to multitask and to balance competing priorities.
Masters degree in a quantitative field, such as mathematics, statistics, physics, computer science, business analytics, etc. with at least three years of related work experience, or a BS in related field with at least five years of relevant work experience
Working @ Edmunds.com:

Employees think its a pretty great place to work and some pretty impressive publications think it is too: we have been recognized as one of the best places to work by the Fortune Magazine and Great Places to Work, LA Business Journal, Computerworld, and Built in LA. We've also been identified as one of the best workplaces specifically in Technology and also for Diversity and Asian Americans. In fact, our CEO, Avi Steinlauf, was rated as one of Glassdoor's Highest Rated CEOs! If youre interested in learning more and joining our mission, wed love to hear from you!

Edmunds will consider for employment qualified candidates with criminal histories in a manner consistent with the requirements of all applicable laws.

*LI-DNP",3.4,Edmunds.com,"Santa Monica, CA","Santa Monica, CA",501 to 1000 employees,Company - Private,Internet,Information Technology,$100 to $500 million (USD),75,131,103, CA,1,54.0,1,1,0,0,1,1,0,data scientist,senior
45,Senior Data Scientist,75-131 ,"Klaviyo is looking for Senior Data Scientists to join our team which is still in its early days. You'll have a big impact on our direction and how we operate. You'll be central to upfront research and shipping products that help our customers learn and grow from their data.

The ideal candidate has a background in data science, statistics and machine learning and has done work ranging from exploratory analysis to training and deploying models. We use a wide variety of data mining and machine learning algorithms. The right candidate will have both a solid fundamental understanding and deep practical experience with at least a few modeling and machine learning techniques.

You should have experience building models that are used by people to make better decisions. We're focused on shipping early and often. We prefer iterative solutions that are incrementally better to the perfect solution.

How you will make a difference:


Analyze large data sets (we're collecting billions of individual actions every month).
Build models and ship products that enable businesses to grow faster and communicate with their customers.
Democratize and open up that technology to everyone (Our background as a team is building these models for the Fortune 50).
Match the right assumptions and models to the right problem.
Measure and know what impact your models had on the decisions people made -- e.g. did they outperform the previous best model or a human decision maker?

Who You Are:


Bachelor's or advanced degree in statistics, applied mathematics, computer science or other relevant quantitative discipline, or equivalent industry experience.
Have worked in a data science role for 5+ years professionally or academically and can talk about your projects and the techniques you used.
Have a strong fundamental understanding and deep experience with at least a few machine learning algorithms (e.g. regressions, decision trees, k-means clustering, neural networks).
Understand Bayesian modeling techniques.
Are capable of analyzing data and making rigorous statements about what can or cannot be concluded.
Have experience designing and implementing model performance/validation assessments.
Have a background in statistics and understand different distributions and the conditions under which they're valid.
Know how code and have used data science tools and packages.
Have demonstrated a measurable impact based on the models you've created. It's not always easy getting a model correct and we love talking about places we got stuck and working as a team to think through ideas that could unblock us.
Have a desire to ship features powered by data science (in other words, you're excited by both upfront research and actually getting models into production at cloud scale).

Get to know Klaviyo

Klaviyo is the world's leading owned marketing platform known for accelerating revenue for online businesses using the channels they own like email, web, and mobile. Enabling companies to leverage these owned marketing channels, Klaviyo makes it easy to store, access, analyze and use transactional and behavioral data to power highly-targeted customer and prospect communications. And unlike other marketing platforms, Klaviyo doesn't force companies to compromise between advanced functionality or ease of use - so companies of all sizes are able to maximize their sales quickly. That's why over 28,000+ innovative companies like Unilever, Custom Ink and Eventbrite sell more with Klaviyo.",4.8,Klaviyo,"Boston, MA","Boston, MA",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,75,131,103, MA,1,8.0,0,0,0,0,0,0,0,data scientist,senior
54,Senior Data Scientist,75-131 ,"Benson Hill empowers innovators to develop more healthy, tasty and sustainable food by unlocking the natural genetic diversity of plants. Benson Hill's CropOS platform combines machine learning and big data with breeding techniques and plant biology to drastically accelerate and simplify the product development process. This platform allows for cost-effective and more efficient ways for companies to analyze and make improvements in plant genetics. Benson Hill brings a unique and holistic approach to our product and platform development, as we span a broader workflow involving trait and seed development, genome editing, and breeding all the way to creating better ingredients and varieties that tap a strong consumer demand for more flavorful and nutritious fruits and vegetables. More information can be found online at www.bensonhill.com. Follow us on Twitter at @BensonHillInc.

Our Purpose and Core Values

Our Core Values are a set of common principles we share that are fundamental to our company's identity.
Be Bold! We redefine boundaries by providing new solutions to difficult problems. Together we are driven to transform the future and will not allow the fear of failure to prevent us from innovating. We voice our opinions, embrace change, and challenge each other to think creatively.
Be Inspired! We redefine boundaries by providing new solutions to difficult problems. Together we are driven to transform the future and will not allow the fear of failure to prevent us from innovating. We voice our opinions, embrace change, and challenge each other to think creatively.
Be Real! We understand who we are, what we want to achieve, and what it takes to get there. We hold each other accountable through timely, candid, and well-intentioned feedback. Together we engage in honest communication and healthy debate that leads to success through true alignment.
Department Overview

The Data Science & Platform Engineering Department leads the development of Benson Hill's crop design platform, CropOS which combines machine learning and big data with genome editing and plant biology to accelerate and simplify the product development process. The team partners with the Research & Development teams on the development of a portfolio of offerings (commercial, product, or platform related) that meet the needs of Benson Hill's business units.

Position Summary

We are actively seeking a Senior Data Scientist to join our rapidly growing Research and Development Department. The successful candidate will be responsible for developing and implementing environmental and geospatial models enabling field experimental design and optimization of product performance across testing environments. This person will work closely with Benson Hill data engineers, scientists and project leaders to maximize the impact of Benson Hill's product development programs.

You Will:

(Essential Duties and Responsibilities)
Develop and refine geospatial data analysis, storage, and modeling systems.
Conduct independent analyses of performance and use advanced approaches to identify predictive models in a geospatial framework.
Participate in the design of hypothesis-driven experiments and analyses.
Perform spatial and statistical analysis on experimental outputs and interpret results
Communicate results in written and visual formats to scientists and program leaders.
Identify opportunities for model enhancements and opportunities for new models to create value in the product discovery and testing pipeline.
You Have:

Education
PhD preferred (minimum BS plus 4 years' experience), in applied mathematics, physics, engineering, statistics, ecology, or closely related field with formal training in statistics and experimental design, with demonstrable track record of peer-reviewed publications.
Experience
Demonstrated enthusiasm for data-driven discovery.
Experience with geospatial analyses, modeling, and interactive system development.
Highly developed ability to identify and evaluate predictive models and their utility.
Experience with machine learning and statistical concepts, packages and libraries.
Background and experience analyzing data with Python, R, or Julia.
Expert with at least one scripting language, Python or R preferred.
Ability to work in collaborative team, and the ability to respond positively to critiques of work.
Excellent communication skills, both electronic and in-person.
A track record of producing deliverables and meeting tight release deadlines.
Ability to work autonomously, identify key tasks, and find solutions to challenges.
Experience organizing and planning complex projects
Strong record of personal development and learning new technologies.
Software/Skillset
Strong understanding of scientific concepts, approaches, application, and interpretation.
Demonstrated experience with common machine learning approaches, statistics, geospatial and command line (e.g. R) applications.
Other
Attention to detail
Strong Customer Focus
Collaborative
Ability to focus and work independently with little direction
We have a Total Rewards Package at Benson Hill that consists of more than just your paycheck. Total Rewards at Benson Hill covers Pay (salary and bonus), Health (employer benefit contributions) and Wealth (investments). Some of the perks include:
A Collaborative Environment
A flexible PTO program with a focus on work/life balance
Competitive medical benefits and retirement savings plan
FREE Dental and Vision Coverage
Education reimbursement
PAID parental leave
And more.",3.5,Benson Hill,"Saint Louis, MO","Saint Louis, MO",201 to 500 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),75,131,103, MO,1,8.0,1,1,0,0,0,0,1,data scientist,senior
70,Principal Data Scientist,79-131 ,"Job Requisition ID #
20WD40121
Job Title
Principal Data Scientist
Job Description

Principal Data Scientist
Location: Boston, MA OR San Francisco, CA OR Portland, OR- United States
Job ID: 20WD40121

Security @ Autodesk
Our team of security experts helps Autodesk design, build, deploy and maintain secure products. We are embedding security in the full spectrum of how we build our products from inception, design, development, testing to how we are running them in the cloud as well as how we are responding to any existing or emerging threats to our products or the building blocks of our products and services. Our job is to be one step ahead of the bad guys and use expertise, technology and other resources to thwart their efforts to compromise our products and the environment in which they operate. Our team keeps a single-minded focus on protecting our customer’s data and their investment in our products by strengthening our applications, underlying services and network.

Position Overview
We are seeking an innovative and strategic thinker to help start a data science program within our team. This is an exciting and brand-new position as part of the Autodesk Security organization to develop new capabilities and gain insights through advanced analytics. The ideal candidate will guide the team to design, build, and deploy high-impact analytical models in support of the security program charter.

As a Principal Data Scientist, you will guide strategic planning and insight for security challenges in applications, products, and services throughout the company. You are expected to deliver strategic foresight and drive excellence in the new data science program. You have significant experience and maturity to raise the bar for the department. You will collaborate with stakeholders throughout the organization, including engineers, architects, and management. You will identify opportunities and trade-offs to design and implement solutions to advance the program.

This role is a unique position that will have a lot of freedom and creativity in the fields of data science and analytics. A security background is not required.

This position can be based out of our offices in Boston, Portland, or San Francisco.

Responsibilities
Lead and guide a data science program to help understand how the wealth of security data can drive insights into weaknesses, threats, and opportunities
Work on a variety of challenges and drive the strategic direction of the program
Design, implement, and deploy data analytics technologies
Apply quantitative analysis and data mining to build models that improve the security posture of applications, products, and services
Research new technologies that can improve the team’s agility, performance, and effectiveness
Influence product development and roadmap prioritization
Leverage a creative mindset to solve challenging problems
Collaborate with individuals and teams throughout the organization
Minimum Qualifications
Degree in a quantitative field, computer science, or an engineering discipline
Advanced knowledge of data analytics technologies
Highly technical with both tactical and strategic capabilities
Hands-on working experience with big data use cases, including designing, building and applying analytics applications
Experience working with big data platforms, such as Hadoop, Spark, Hive, etc.
Fluency with one or more programming languages, such as Python, Go, etc.
Statistical programming skills, such as R, Matlab, Python data science toolkits, etc.
Experience working with distributed teams and other cross-functional stakeholders
Experience in an engineering or technical role delivering software solutions
Preferred Qualifications
Knowledge of cloud computing technologies, such as Amazon Web Services (AWS), Microsoft Azure, and Google Cloud Platform (GCP)
Familiarity with Machine Learning (ML) techniques and applications
#ADSKSecurityCareers

#LI-POST

At Autodesk, we're building a diverse workplace and an inclusive culture to give more people the chance to imagine, design, and make a better world. Autodesk is proud to be an equal opportunity employer and considers all qualified applicants for employment without regard to race, color, religion, age, sex, sexual orientation, gender, gender identity, national origin, disability, veteran status or any other legally protected characteristic. We also consider for employment all qualified applicants regardless of criminal histories, consistent with applicable law.

Are you an existing contractor or consultant with Autodesk? Please search for open jobs and apply internally (not on this external site). If you have any questions or require support, contact Autodesk Careers.",4.0,Autodesk,"San Francisco, CA","San Rafael, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),79,131,105, CA,0,38.0,1,1,1,1,1,0,1,data scientist,senior
90,Senior Data Scientist,79-131 ,"Secure our Nation, Ignite your Future

Job Summary

Each day U.S. Customs and Border Protection (CBP) oversees the massive flow of people, capital, and products that enter and depart the United States via air, land, sea, and cyberspace. The volume and complexity of both physical and virtual border crossings require the application of solutions to promote efficient trade and travel. Further, effective solutions help CBP ensure the movement of people, capital, and products is legal, safe, and secure.

In response to this challenge, ManTech, as a trusted mission partner of CBP, seeks capable, qualified, and versatile Senior Data Scientist to help lead the development and delivery of high-quality predictive modelling solutions. Successful applicants will serve as recognized subject matter experts in the application of quantitative methods, machine learning algorithms, and predictive models to address complex national and homeland security challenges. They will help our team to leverage large structured and unstructured datasets to develop and operationalize models, tools, and applications that drive optimized decision making. Project tasks include data collection, mining, data and text analytics, clustering analysis, pattern recognition and extraction, automated classification and categorization, and entity resolution to implement and enhance automated risk assessment. The products we develop provide actionable insight with real and immediate impact on the safety and security of the United States, its citizens, visitors, and economy.

Required Qualifications:
Experience performing the full lifecycle of machine learning model development activities; including data engineering, feature development, validation and implementation/assessment
Experience applying advanced analytics solutions to solve complex business problems
Experience with programming languages including: R, Python, Scala, Java
Proficiency with relational databases, using SQL/PLSQL or similar to extract, transform and load data in support of EDA and model development
Proficiency with statistical software packages including: SAS, SPSS Modeler, R, WEKA, or equivalent
Experience with unsupervised and supervised machine learning techniques and methods
Experience working with large-scale (e.g., terabyte and petabyte) unstructured and structured data sets and databases
Experience performing data mining, analysis, and training set construction
Bachelors Degree (required) or Masters Degree in mathematics, statistics, computer science/engineering, or other related technical fields with equivalent practical experience
Desired Skills:
Proficiency with Unsupervised Machine Learning methods including Cluster Analysis (e.g., K-means, K-nearest Neighbor, Hierarchical, Deep Belief Networks, Principal Component Analysis), Segmentation, etc.
Proficiency with Supervised Machine Learning methods including Decision Trees, Support Vector Machines, Logistic Regression, Random/Rotation Forests, Categorization/Classification, Neural Nets, Bayesian Networks, etc.
Experience with pattern recognition and extraction, automated classification, categorization, and entity resolution (e.g., record linking, named-entity matching, deduplication/ disambiguation).
Experience with visualization tools and techniques (e.g., Periscope, Business Objects, D3, ggplot, Tableau, SAS Visual Analytics, PowerBI)
Experience with big data technologies (e.g., Hadoop, HIVE, HDFS, HBase, MapReduce, Spark, Kafka, Sqoop)
Experience conducting intelligence analysis supporting law enforcement missions
Active Top Secret Clearance
Physical Requirements:

The person in this position needs to occasionally move about inside the office to access file cabinets, office machinery, or to communicate with co-workers, management, and customers, which may involve delivering presentations.

Clearance

Applicants selected must be a US Citizen and able to obtain and maintain a U.S. Customs and Border Protection (CBP) Background Investigation.

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.2,ManTech,"Alexandria, VA","Herndon, VA",5001 to 10000 employees,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),79,131,105, VA,0,52.0,1,0,1,1,0,1,1,data scientist,senior
95,Senior Data Scientist,99-132 ,"About Us

At GutCheck, we pioneered agile market research to provide our clients with actionable insights at the speed of their business. As the marketplace rapidly evolves, we're evolving with it. By combining qualitative, quantitative, and behavioral methodologies, our team of full-service research experts synthesizes insights to help clients make more confident business decisions -- connecting them with their target consumers earlier and more often in the development process.

What Makes Our Approach Different

We create heroes out of our clients by providing them with contextualized insights to more efficiently and effectively connect with their target audiences. Enabled by technology and automation, we are dedicated partners who take a human-first approach to delivering powerful insights. Today, we are bringing agile to strategy: enabling brands to gather robust foundational insights in an agile, iterative way to inform key business within the demands of today's innovation timelines.

Here's where you come in:

As our Senior Data Scientist, you will be the primary contributor that will operationalize predictive models built with machine learning and advanced analytic technologies. GutCheck owns years of structured and unstructured data. We've started to identify patterns in our world-class market research using machine learning technologies such as TensorFlow. You will help us by providing expertise on mathematical concepts for the broader cross-functional analytics team and inspire the adoption of advanced analytics and data science across the entire breadth of our organization.

You will work closely with our talented and agile Product and Engineering teams to craft scalable, well-designed solutions that address the technical and architectural challenges inherent to making sense of our data. We have a focus on quality, automation, and innovation. We encourage our Engineers to think creatively and flexibly when choosing solutions, tools, and techniques. Our team offers an environment where trust and innovation are encouraged, egos aren't accepted, and collaboration is core to our DNA.

You will advocate, evangelize and build data-fueled products that help our internal and external customers gain deeper insights into direct, targeted consumer feedback. This data can and will be coupled with third-party data sources to help our clients be heroes by making well informed business decisions. You'll help research and choose which data sources will provide unique and compelling insights, and then you'll dig in and become an expert on that data. You will provide insight into leading analytic practices, design and lead iterative learning and development cycles, and ultimately produce new and creative analytic solutions that will become part of our core deliverables.

For more information on the company and the GutCheck team, please go to www.gutcheckit.com

This job description is not a complete list of your qualifications or position roles. GutCheck is proud to be an equal opportunity employer. We are committed to equal opportunity regardless of race, color, ancestry, religion, gender, gender identity, genetic information, parental or pregnancy status, national origin, sexual orientation, age, citizenship, marital status, disability, or Veteran status.",3.8,GutCheck,"Denver, CO","Denver, CO",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),99,132,115, CO,1,11.0,0,0,0,0,0,0,0,data scientist,senior
99,Senior Data Scientist,99-132 ,"Job Requisition ID #
20WD40666
Job Title
Senior Data Scientist
Job Description

Senior Data Scientist

Location: San Francisco, CA- United States

Job ID: 20WD40666

Position Overview

Autodesk is seeking a Senior Data Scientist to join our Data Platform & Insights organization. The organization is chartered with building innovative data products and analytics solutions for Autodesk’s strategy, product, marketing, sales and customer support teams. This critical data scientist role will help us make machine intelligence an integral part of how Autodesk makes decisions and designs and builds its products.

You will work alongside a product development team and apply data mining, analytics and machine learning methods to understanding how customers use, adopt and achieve successful outcomes with our products. The ideal candidate is a strong data scientist who thinks outside the box, is naturally curious, highly collaborative, and has a passion for tackling complex data-centric problems.

Responsibilities

Work on a variety of problems that seek to better understand how customers use their products and what drives deeper adoption and usage of products

Apply your quantitative analysis, data mining and machine learning expertise to building models that make sense of user needs, usage patterns, factors that drive deeper adoption and contribute to subscriber churn

Influence product development, strategy and roadmap prioritization

Design and implement machine learning pipelines that improve Autodesk’s evidence-based decision-making capabilities

Tackle complex problems requiring a creative mindset to find innovative and elegant solutions

Minimum Qualifications
BS/MS/PhD in the fields of: Mathematics, Physical Sciences, Statistics/Analytics, Computer Science, or other relevant fields
Experience working with relational SQL and/or NoSQL databases
Experience working with big data platforms (Hadoop, Spark, Hive)
Fluency with one or more programming language: Python, Java, Scala, etc.
Good understanding of CS fundamentals, e.g. algorithms and data structures
Experience in statistical programming tools such as R, Matlab, SAS, Python data science toolkits, etc.
Experience with data science toolkits like pandas, Jupyter, scikit, TensorFlow, etc.
Familiarity with Statistics concepts and analysis, e.g. hypothesis testing, regression, experimental design, etc.
Familiarity with Machine Learning techniques, e.g. classification, clustering, regularization, optimization, dimension reduction, etc.
Good communication skills and ability to explain complex topics to both technical and non-technical audience as well
At Autodesk, we're building a diverse workplace and an inclusive culture to give more people the chance to imagine, design, and make a better world. Autodesk is proud to be an equal opportunity employer and considers all qualified applicants for employment without regard to race, color, religion, age, sex, sexual orientation, gender, gender identity, national origin, disability, veteran status or any other legally protected characteristic. We also consider for employment all qualified applicants regardless of criminal histories, consistent with applicable law.

Are you an existing contractor or consultant with Autodesk? Please search for open jobs and apply internally (not on this external site). If you have any questions or require support, contact Autodesk Careers.",4.0,Autodesk,"San Francisco, CA","San Rafael, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),99,132,115, CA,0,38.0,1,0,1,1,0,0,1,data scientist,senior
102,Sr Data Engineer (Sr BI Developer),99-132 ,"Description/Responsibilities


Responsible for the ongoing support of existing Data management solutions, as well as development of new functionality to include sophisticated data management solutions, to enable colleagues to support tactical and strategic decision making. Extracts, models, transforms, and loads data into databases required for Analytics and Reporting. Collaborates with EIS to deliver production ready data assets in support of DM delivery requirements.
Understands complex business requirements and translates into technical specifications.
Uses highest level of subject matter expertise to decide on data modeling, data sourcing, data quality, and DM delivery solutions.
Performs complex data analysis and system profiling to create clear data definitions.
Incorporates complex new data requirements and/or new applications into the warehouse environments.
Reengineer existing system and automate as needed.
Mentor or coach junior levels of developers.
Qualifications
Bachelor’s degree or an equivalent combination of education and related work experience
5 years of work experience as ETL/CUBE Developer
Work experience with multiple database platforms and DM delivery solutions
5 years of experience with ETL, data marts and cubes, implementing and supporting production environments.
5 years of experience designing, building and implementing data warehouse solutions with Microsoft technologies including SQL Server, SSIS, SSAS skill with MDX and DAX skill with tabular cube is a must.
Experience delivering DM solutions with an Agile DM delivery methodology
Experience in working with Healthcare data preferred
Preferred Qualifications:
Experience implementing and delivering solutions with Big Data platforms like Hadoop
Ability to communicate, present and interact comfortably with senior leadership
Demonstrated proficiency implementing self-service solutions to empower an organization to generate valuable actionable insights
Strong team player as well as an individual contributor as situation calls for.
Ability to understand information quickly, derive insight, synthesize information clearly and concisely, and devise solutions
Inclination to take initiative, set priorities, take ownership of assigned projects and initiatives, drive for results, and collaborate to achieve greatest value
Strong relationship-building and interpersonal skills
Demonstrated self-confidence, honesty and integrity
Ability to travel as business needs require (expected
5071

About Tivity Health

Tivity Health®, Inc. (tivityhealth.com) is a leading provider of health improvement, nutrition, fitness and social engagement solutions at scale to improve clinical outcomes, reduce healthcare costs and create opportunities to feel better, work better and live better. With decades of clinical and operational expertise, the company touches millions of consumers through its integrated portfolio of brands and works directly with hundreds of healthcare practitioners and many of the nation’s largest payers and employers. Tens of millions of Americans are currently eligible for Tivity Health’s SilverSneakers®, Prime® Fitness, WholeHealth Living™ and flip50™ programs and millions of people have lost weight with Nutrisystem®, South Beach Diet® and DNA BodyBlueprint™. As part of its commitment to tackling social isolation and loneliness, in 2017, Tivity Health launched a rural aging initiative to address challenges unique to older adults in rural communities.

Tivity Health is an equal employment opportunity employer and is committed to a proactive program of diversity development. Tivity Health will continue to recruit, hire, train, and promote into all job levels without regard to race, religion, gender, marital status, familial status, national origin, age, mental or physical disability, sexual orientation, gender identity, source of income, or veteran status.",3.2,Tivity Health,"Chandler, AZ","Franklin, TN",501 to 1000 employees,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,99,132,115, AZ,0,39.0,0,0,1,0,0,0,1,data engineer,senior
