anime_id;name;genre;type;episodes;rating;members
32295;Ai Sky Tree 21;Action;ONA;1;5.00;137
32150;Ai to Shi;Action;Special;1;5.00;69
29850;AKB48 Stage Fighter;Action;Special;1;5.55;359
5330;Alice in Cyberland;Action;OVA;1;5.80;605
17395;Ark IX;Action;OVA;1;5.33;5308
32377;Azure Nihon Data Center;Action;ONA;1;5.33;350
5232;Band of Ninja;Action;Movie;1;5.82;748
9343;Bousou Sengokushi;Action;OVA;2;5.71;156
30573;Break Blade: Virgins War;Action;Special;1;6.58;1876
33080;Brotherhood: Final Fantasy XV;Action;ONA;5;7.18;29445
3389;Bus Gamer;Action;TV;3;6.66;20550
29609;Chinka;Action;Special;1;5.49;132
34324;Chiryokumaru;Action;ONA;1;5.40;817
5869;Chou no Sainan;Action;Movie;1;5.38;619
8898;Circuit Angel: Ketsui no Starting Grid;Action;OVA;1;5.78;424
6721;Dark Side Cat;Action;ONA;6;5.96;1821
11471;Dororo;Action;Special;1;6.24;278
6848;Doubutsu Mura no Daisodou;Action;Movie;1;5.17;355
5872;Doubutsu Mura no Sports Day;Action;Movie;1;5.18;448
5812;Doubutsu Sumo Taikai;Action;Movie;1;4.67;585
4856;Fuuma no Kojirou: Fuuma Hanran-hen;Action;OVA;1;6.93;549
4855;Fuuma no Kojirou: Seiken Sensou-hen;Action;OVA;6;6.91;690
4854;Fuuma no Kojirou: Yasha-hen;Action;OVA;6;6.92;819
29255;Ghost in the Shell Arise Episode: [.jp];Action;Special;1;6.68;2209
1933;Growlanser IV: Wayfarer of the Time;Action;OVA;1;5.85;931
6000;Haruwo;Action;OVA;1;4.72;493
5870;Hibari no Yadogae;Action;Movie;1;4.98;519
32548;Imawa no Kuni no Alice;Action;ONA;1;6.25;824
30080;Inishie no Megami to Houseki no Ite;Action;ONA;1;5.90;143
6829;Izakaya no Ichiya;Action;Movie;1;5.31;406
17141;Kara The Animation;Action;TV;5;6.01;572
33082;Kingsglaive: Final Fantasy XV;Action;Movie;1;7.83;15508
5811;Nezumi no Rusuban;Action;Movie;1;4.64;532
23605;Ninja Slayer From Animation;Action;ONA;26;6.56;26062
6833;Ninjutsu Hinotama Kozou: Edo no Maki;Action;Movie;1;4.15;474
7527;Ponsuke no Udekurabe;Action;Movie;1;6.40;91
33021;Ragnastrike Angels;Action;TV;12;4.42;7365
5874;Sankou to Tako: Hyakumanryou Chinsoudou;Action;Movie;1;5.22;369
4810;Shinzou Ningen Casshern;Action;TV;35;7.07;2822
5583;Sonic: Night of the WereHog;Action;ONA;1;6.63;3424
28631;Studio Khara vs. CyberConnect2 Gachinko! Animation Taiketsu!;Action;ONA;2;5.86;217
3989;Suna no Bara: Yuki no Mokushiroku;Action;OVA;1;6.31;633
14821;Taekwon Dongja Maruchi Arachi;Action;Movie;1;4.53;93
4462;Tairiki Tarou no Mucha Shuugyou;Action;Movie;1;4.80;852
5873;Tarou-san no Kisha;Action;Movie;1;5.49;662
30916;The Five Killers;Action;ONA;1;6.24;312
15399;The Siamese: First Mission;Action;Movie;1;5.85;127
33934;Trigger-chan;Action;ONA;1;6.51;5051
34453;Uma Musume: Pretty Derby;Action;ONA;1;6.64;75
5813;Urashima Tarou (1931);Action;Movie;1;4.58;841
22561;Virtual Star 2000;Action;OVA;6;5.43;75
12765;Yuuyake Banchou;Action;TV;26;6.36;109
4252;Explorer Woman Ray;Action, Adventure;OVA;2;5.47;594
5838;Furudera no Obake-soudou;Action, Adventure;Movie;1;5.04;531
30134;Hong Gil Dong 2084;Action, Adventure;Movie;1;5.00;55
13185;Juusen Battle Monsuno;Action, Adventure;TV;52;6.55;2248
5581;Kaitei Daisensou: Ai no 20,000 Miles;Action, Adventure;Special;1;6.03;141
33383;Mask Masters;Action, Adventure;TV;26;8.00;53
4087;Michiko to Hatchin;Action, Adventure;TV;22;7.90;82625
2144;Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panikku Dattebayo!;Action, Adventure;Movie;1;6.95;91526
5871;Norakuro Nitouhei: Kyouren no Maki;Action, Adventure;Movie;1;5.16;359
23819;Onimaru: Senjou ni Kakeru Itsutsu no Seishun;Action, Adventure;OVA;1;5.25;76
8999;Origami Warriors;Action, Adventure;TV;52;7.15;143
32219;Raldessia Chronicles;Action, Adventure;ONA;1;5.03;81
4940;Sabaku no Kaizoku! Captain Kuppa;Action, Adventure;TV;26;7.16;212
12529;Time-Patrol Bon: Fujiko F. Fujio Anime Special - SF Adventure;Action, Adventure;Special;1;5.46;83
4131;Twin Bee Paradise;Action, Adventure;OVA;4;6.66;176
377;eX-Driver;Action, Adventure, Cars, Comedy, Sci-Fi, Shounen;OVA;6;6.88;5217
378;eX-Driver the Movie;Action, Adventure, Cars, Comedy, Sci-Fi, Shounen;Movie;1;6.85;2791
3101;F-Zero: Falcon Densetsu;Action, Adventure, Cars, Mecha, Sci-Fi, Shounen, Sports;TV;51;6.46;3863
6162;Tailenders;Action, Adventure, Cars, Sci-Fi;Movie;1;6.86;8474
3127;California Crisis: Tsuigeki no Juuka;Action, Adventure, Comedy;OVA;1;5.77;1604
28057;Dangobei Torimonochou: Hirake - Goma no Maki;Action, Adventure, Comedy;Movie;1;5.45;129
18521;GUNbare! Game Tengoku 2 the Movie;Action, Adventure, Comedy;OVA;1;5.09;88
5265;Mega Man;Action, Adventure, Comedy;TV;27;6.52;3263
6067;Moeru! Oniisan;Action, Adventure, Comedy;TV;24;7.33;252
32136;Narara Superboard;Action, Adventure, Comedy;TV;54;4.83;46
32889;Tu Xia Chuanqi;Action, Adventure, Comedy;Movie;1;5.33;50
32890;Tu Xia Zhi Qing Li Chuanshuo;Action, Adventure, Comedy;Movie;1;6.00;57
882;Yuu☆Yuu☆Hakusho (Movie);Action, Adventure, Comedy;Movie;1;6.97;13904
